preferred_ontology_term	MESH	UMLS	EFO	NCIT	OMIM	DOID	Orphanet	HP	MONDO	ICD-10	label
NCIT_C154617				NCIT_C154617							Digestive System Large Cell Neuroendocrine Carcinoma
NCIT_C8006				NCIT_C8006							Pancreatic Somatostatin-Producing Neuroendocrine Tumor
NCIT_C3062				NCIT_C3062							Pancreatic Glucagon-Producing Neuroendocrine Tumor
NCIT_C3236		C0025568		NCIT_C3236							Metaplasia
NCIT_C5674		C1333116		NCIT_C5674							Colorectal Traditional Serrated Adenoma
NCIT_C27456		C1333117		NCIT_C27456							Colorectal Tubular Adenoma
NCIT_C96499		C3272823		NCIT_C96499							Colorectal Non-Hodgkin Lymphoma
NCIT_C5766		C1333973		NCIT_C5766							Liver Non-Hodgkin Lymphoma
NCIT_C26692				NCIT_C26692							Factor I Deficiency
NCIT_C98882		C0158644		NCIT_C98882							Congenital Lung Malformation
NCIT_C97174		C0037268		NCIT_C97174							Congenital Skin Disorder
NCIT_C98885		C0158698		NCIT_C98885							Congenital Urinary System Abnormality
NCIT_C35531		C0854416		NCIT_C35531							Pulmonary Vascular Disorder
NCIT_C114397		C2586211		NCIT_C114397							Vascular Thrombosis
NCIT_C36283		C1333520		NCIT_C36283							Eye and Ear Finding
NCIT_C84433		C2827448		NCIT_C84433							Childhood Diabetes Mellitus
NCIT_C54443		C1710372		NCIT_C54443							Terminology Subset
NCIT_C117984		C3899656		NCIT_C117984							Pediatric Infectious Disorder
NCIT_C89338		C1535926		NCIT_C89338							Neurodevelopmental Disorder
NCIT_C121973		C4055498		NCIT_C121973							Acute Lymphoblastic Leukemia by Gene Expression Profile
NCIT_C14348		C1512048		NCIT_C14348							Double Stranded DNA Virus
NCIT_C14290		C0079679		NCIT_C14290							Lentivirus
NCIT_C15445		C0279025		NCIT_C15445							Hormone Therapy
NCIT_C25294		C0022885		NCIT_C25294							Laboratory Procedure
NCIT_C16701		C0020289		NCIT_C16701							Hydrolase
NCIT_C61497		C1880019		NCIT_C61497							Cessation
NCIT_C18839		C0520990		NCIT_C18839							Host Defense Mechanism
NCIT_C17021		C0033684		NCIT_C17021							Protein
NCIT_C5043		C1336953		NCIT_C5043							Ventilation or Perfusion Signs and Symptoms
NCIT_C27223		C0920561		NCIT_C27223							Infection-Related Malignant Neoplasm
NCIT_C3487		C0086696		NCIT_C3487							Therapy-Related Neoplasm
NCIT_C26458		C0333994		NCIT_C26458							Intraductal Hyperplasia
NCIT_C7586		C0751676		NCIT_C7586							Malignant Basal Cell Neoplasm
NCIT_C139533				NCIT_C139533							Breast Cancer by AJCC v8 Anatomic Stage
NCIT_C155792				NCIT_C155792							Benign Skull Neoplasm
NCIT_C7231		C1336006		NCIT_C7231							Small Intestinal Non-Hodgkin Lymphoma
NCIT_C6825		C1518472		NCIT_C6825							Numerical Chromosomal Abnormality
NCIT_C3693		C0205699		NCIT_C3693							Carcinomatosis
NCIT_C4583		C0346989		NCIT_C4583							Metastatic Malignant Neoplasm in the Peritoneum
NCIT_C12964		C1516798		NCIT_C12964							Connective and Soft Tissue
NCIT_C38620		C1300680		NCIT_C38620							Integumentary System Part
NCIT_C13319		C1285092		NCIT_C13319							Gland
NCIT_C27770		C1334160		NCIT_C27770							Immunodeficiency-Related Malignant Neoplasm
NCIT_C4796		C0520539		NCIT_C4796							Hypertensive Episode
NCIT_C50437		C2926602		NCIT_C50437							Body Substance Discharge
NCIT_C98904		C0272448		NCIT_C98904							Connective and Soft Tissue Injury
NCIT_C19157		C0370003		NCIT_C19157							Specimen
NCIT_C3910				NCIT_C3910							Molecular Abnormality
NCIT_C36541		C1515001		NCIT_C36541							Chromosomal Rearrangement
NCIT_C12917		C0334227		NCIT_C12917							Malignant Cell
NCIT_C36807		C1512100		NCIT_C36807							Dysplastic Epithelial Cell
NCIT_C36763		C1513973		NCIT_C36763							Neoplastic Glandular Cell
NCIT_C36756		C1513960		NCIT_C36756							Neoplastic Epithelial Clear Cell
NCIT_C7107		C1334976		NCIT_C7107							Liver and Intrahepatic Bile Duct Non-Epithelial Neoplasm
NCIT_C7158		C1332489		NCIT_C7158							Benign Dermal Neoplasm
NCIT_C5562		C1302712		NCIT_C5562							Skin Appendage Hamartoma
NCIT_C20633		C1706062		NCIT_C20633							Biochemical Pathway
NCIT_C35691				NCIT_C35691							Mixed Tumor of the Salivary Gland
NCIT_C20188		C0851364		NCIT_C20188							Social Circumstances
NCIT_C8962		C0920207		NCIT_C8962							Digestive System Intraepithelial Neoplasia
NCIT_C43324		C1709361		NCIT_C43324							Outer Hair Sheath and Infundibulum Neoplasm
NCIT_C27520		C0853031		NCIT_C27520							Benign Hair Follicle Neoplasm
NCIT_C6858		C1511566		NCIT_C6858							Primary Cutaneous B-Cell Non-Hodgkin Lymphoma
NCIT_C8355		C0333977		NCIT_C8355							Atypical Hyperplasia
NCIT_C5354		C1456853		NCIT_C5354							Skin Vascular Neoplasm
NCIT_C17005		C1257890		NCIT_C17005							Population Group
NCIT_C15329		C0543467		NCIT_C15329							Surgical Procedure
NCIT_C5039		C1334804		NCIT_C5039							Motor Manifestations
NCIT_C49165		C1710258		NCIT_C49165							Surgical Procedure by Method
NCIT_C20200		C1274040		NCIT_C20200							Outcome
NCIT_C35876		C1332975		NCIT_C35876							Childhood Intracranial Neoplasm
NCIT_C3045		C0016169		NCIT_C3045							Fistula
NCIT_C165614		C2931245		NCIT_C165614							Bone Marrow Failure Syndrome
NCIT_C7046		C1336894		NCIT_C7046							Urinary System Paraganglioma
NCIT_C162460				NCIT_C162460							Thymic Neuroendocrine Neoplasm
NCIT_C35348		C0272423		NCIT_C35348							Ear Injury
NCIT_C4135		C0334294		NCIT_C4135							Multiple Adenomatous Polyps
NCIT_C7749		C0263010		NCIT_C7749							Skin Fibrohistiocytic Neoplasm
NCIT_C4963		C0751588		NCIT_C4963							Benign Supratentorial Neoplasm
NCIT_C3535		C0153415		NCIT_C3535							Malignant Neoplasm of the Lower Third of the Esophagus
NCIT_C43311		C1708240		NCIT_C43311							Germinative Follicular Epithelium Neoplasm
NCIT_C76197		C1254144		NCIT_C76197							Firmicutes
NCIT_C48592		C0017181		NCIT_C48592							Gastrointestinal Hemorrhage
NCIT_C78255		C1619702		NCIT_C78255							Device-Related Infection
NCIT_C7151				NCIT_C7151							Monoclonal Immunoglobulin Deposition Disease
NCIT_C60811		C1882306		NCIT_C60811							Pediatric Death
NCIT_C76196		C0751985		NCIT_C76196							Proteobacteria
NCIT_C157774				NCIT_C157774							Metastatic Malignant Genitourinary System Neoplasm
NCIT_C38458		C1266025		NCIT_C38458							Traditional Serrated Adenoma
NCIT_C97173		C0035238		NCIT_C97173							Congenital Respiratory System Disorder
NCIT_C16048		C1512759		NCIT_C16048							Information Resource
NCIT_C14200		C0012923		NCIT_C14200							DNA Virus
NCIT_C14268		C0035366		NCIT_C14268							Retroviridae
NCIT_C16554		C0014442		NCIT_C16554							Enzyme
NCIT_C25404		C3266814		NCIT_C25404							Action
NCIT_C21124		C1513731		NCIT_C21124							Multicellular Process
NCIT_C26548		C1704222		NCIT_C26548							Gene Product
NCIT_C27224		C0920562		NCIT_C27224							Infection-Related Neoplasm
NCIT_C27933		C1334934		NCIT_C27933							Neoplasm by Cause
NCIT_C3784		C0206710		NCIT_C3784							Basal Cell Neoplasm
NCIT_C139532				NCIT_C139532							Breast Cancer by AJCC v8 Stage
NCIT_C8615		C0854198		NCIT_C8615							Metastatic Malignant Neoplasm in the Abdominal Cavity
NCIT_C12801		C0040300		NCIT_C12801							Tissue
NCIT_C32221		C0229962		NCIT_C32221							Body Part
NCIT_C13018		C0178784		NCIT_C13018							Organ
NCIT_C27936		C1334161		NCIT_C27936							Immunodeficiency-Related Neoplasm
NCIT_C48187		C0520510		NCIT_C48187							Material
NCIT_C12922		C0597032		NCIT_C12922							Neoplastic Cell
NCIT_C36753		C1513959		NCIT_C36753							Neoplastic Epithelial Cell
NCIT_C36764		C1510724		NCIT_C36764							Abnormal Glandular Cell
NCIT_C36757		C1513940		NCIT_C36757							Neoplastic Clear Cell
NCIT_C45249		C1707551		NCIT_C45249							Cutaneous Mature B-Cell Neoplasm
NCIT_C43359		C0441833		NCIT_C43359							Group
NCIT_C80693				NCIT_C80693							Bone Marrow Failure
NCIT_C7513		C1334579		NCIT_C7513							Malignant Esophageal Neoplasm by Topographic Region
NCIT_C14187		C0004611		NCIT_C14187							Bacteria
NCIT_C119722		C3899377		NCIT_C119722							Digestive System Hemorrhage
NCIT_C20865		C1512762		NCIT_C20865							Information and Media
NCIT_C14283		C0042776		NCIT_C14283							Virus
NCIT_C54085		C1005558		NCIT_C54085							Retro-transcribing Virus
NCIT_C20027		C0815043		NCIT_C20027							"Protein, Organized by Function"
NCIT_C156714				NCIT_C156714							Malignant Abdominal Neoplasm
NCIT_C12219		C1515976		NCIT_C12219							"Anatomic Structure, System, or Substance"
NCIT_C12913		C0333717		NCIT_C12913							Abnormal Cell
NCIT_C36745		C1510721		NCIT_C36745							Abnormal Epithelial Cell
NCIT_C14250		C0029235		NCIT_C14250							Organism
